raceId,year,circuitId,name,qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,raceId,driverId,constructorId,grid,positionOrder,points,laps,rank,fastestLapSpeed,driverid,driverref
1052,2021,3,"Bahrain Grand Prix",8743,1052,4,214,14,9,1:30.863,1:30.595,1:30.249,1052,4,214,9,19,0.0,32,17,202.816,4,alonso
1052,2021,3,"Bahrain Grand Prix",8754,1052,853,210,9,20,1:33.273,\N,\N,1052,853,210,19,20,0.0,0,0,\N,853,mazepin
1053,2021,21,"Emilia Romagna Grand Prix",8757,1053,830,9,33,3,1:15.109,1:14.884,1:14.498,1053,830,9,3,1,25.0,63,2,227.960,830,max_verstappen
1053,2021,21,"Emilia Romagna Grand Prix",8755,1053,1,131,44,1,1:14.823,1:14.817,1:14.411,1053,1,131,1,2,19.0,63,1,230.403,1,hamilton
1053,2021,21,"Emilia Romagna Grand Prix",8761,1053,846,1,4,7,1:15.009,1:14.718,1:14.875,1053,846,1,7,3,15.0,63,3,225.819,846,norris
1053,2021,21,"Emilia Romagna Grand Prix",8758,1053,844,6,16,4,1:15.413,1:14.808,1:14.740,1053,844,6,4,4,12.0,63,6,225.473,844,leclerc
1053,2021,21,"Emilia Romagna Grand Prix",8765,1053,832,6,55,11,1:15.406,1:15.199,\N,1053,832,6,11,5,10.0,63,7,225.154,832,sainz
1053,2021,21,"Emilia Romagna Grand Prix",8760,1053,817,1,3,6,1:15.669,1:15.033,1:14.826,1053,817,1,6,6,8.0,63,12,222.739,817,ricciardo
1053,2021,21,"Emilia Romagna Grand Prix",8759,1053,842,213,10,5,1:15.548,1:14.927,1:14.790,1053,842,213,5,7,6.0,63,9,223.718,842,gasly
1053,2021,21,"Emilia Romagna Grand Prix",8764,1053,840,117,18,10,1:15.522,1:15.138,\N,1053,840,117,10,8,4.0,63,8,224.320,840,stroll
1053,2021,21,"Emilia Romagna Grand Prix",8763,1053,839,214,31,9,1:15.385,1:15.117,1:15.210,1053,839,214,9,9,2.0,63,15,222.512,839,ocon
1053,2021,21,"Emilia Romagna Grand Prix",8769,1053,4,214,14,15,1:15.832,1:15.593,\N,1053,4,214,15,10,1.0,63,14,222.526,4,alonso
1053,2021,21,"Emilia Romagna Grand Prix",8756,1053,815,9,11,2,1:15.395,1:14.716,1:14.446,1053,815,9,2,11,0.0,63,13,222.585,815,perez
1053,2021,21,"Emilia Romagna Grand Prix",8774,1053,852,213,22,20,\N,\N,\N,1053,852,213,20,12,0.0,63,4,225.603,852,tsunoda
1053,2021,21,"Emilia Romagna Grand Prix",8770,1053,8,51,7,16,1:15.974,\N,\N,1053,8,51,16,13,0.0,63,5,225.548,8,raikkonen
1053,2021,21,"Emilia Romagna Grand Prix",8771,1053,841,51,99,17,1:16.122,\N,\N,1053,841,51,17,14,0.0,62,16,222.378,841,giovinazzi
1053,2021,21,"Emilia Romagna Grand Prix",8767,1053,20,117,5,13,1:15.459,1:15.394,\N,1053,20,117,0,15,0.0,61,10,223.491,20,vettel
1053,2021,21,"Emilia Romagna Grand Prix",8772,1053,854,210,47,18,1:16.279,\N,\N,1053,854,210,18,16,0.0,61,11,223.156,854,mick_schumacher
1053,2021,21,"Emilia Romagna Grand Prix",8773,1053,853,210,9,19,1:16.797,\N,\N,1053,853,210,19,17,0.0,61,17,219.800,853,mazepin
1053,2021,21,"Emilia Romagna Grand Prix",8762,1053,822,131,77,8,1:14.672,1:14.905,1:14.898,1053,822,131,8,18,0.0,30,19,199.721,822,bottas
1053,2021,21,"Emilia Romagna Grand Prix",8766,1053,847,3,63,12,1:15.826,1:15.261,\N,1053,847,3,12,19,0.0,30,18,204.203,847,russell
1053,2021,21,"Emilia Romagna Grand Prix",8768,1053,849,3,6,14,1:15.653,1:15.593,\N,1053,849,3,14,20,0.0,0,0,\N,849,latifi
1054,2021,75,"Portuguese Grand Prix",8776,1054,1,131,44,2,1:18.857,1:17.968,1:18.355,1054,1,131,2,1,25.0,66,4,206.971,1,hamilton
1054,2021,75,"Portuguese Grand Prix",8777,1054,830,9,33,3,1:19.485,1:18.650,1:18.746,1054,830,9,3,2,18.0,66,3,207.581,830,max_verstappen
1054,2021,75,"Portuguese Grand Prix",8775,1054,822,131,77,1,1:18.722,1:18.458,1:18.348,1054,822,131,1,3,16.0,66,1,209.738,822,bottas
